Electoral wards and divisions Code,Electoral wards and divisions,Household deprived in the education dimension (3 categories) Code,Attribute,Value
E05014112,Streatham Common & Vale,Deprived,Housing,1132
E05014113,Streatham Hill East,Does not apply,Education,0
E05014113,Streatham Hill East,Does not apply,Employment,1
E05014113,Streatham Hill East,Does not apply,Health,0
E05014113,Streatham Hill East,Does not apply,Housing,0
E05014113,Streatham Hill East,Not Deprived,Education,3437
E05014113,Streatham Hill East,Not Deprived,Employment,3392
E05014113,Streatham Hill East,Not Deprived,Health,2924
E05014113,Streatham Hill East,Not Deprived,Housing,3261
E05014113,Streatham Hill East,Deprived,Education,584
E05014113,Streatham Hill East,Deprived,Employment,628
E05014113,Streatham Hill East,Deprived,Health,1097
E05014113,Streatham Hill East,Deprived,Housing,760
E05014114,Streatham Hill West & Thornton,Does not apply,Education,0
E05014114,Streatham Hill West & Thornton,Does not apply,Employment,0
E05014114,Streatham Hill West & Thornton,Does not apply,Health,0
E05014114,Streatham Hill West & Thornton,Does not apply,Housing,0
E05014114,Streatham Hill West & Thornton,Not Deprived,Education,4194
E05014114,Streatham Hill West & Thornton,Not Deprived,Employment,4172
E05014114,Streatham Hill West & Thornton,Not Deprived,Health,3638
E05014114,Streatham Hill West & Thornton,Not Deprived,Housing,3965
E05014114,Streatham Hill West & Thornton,Deprived,Education,438
E05014114,Streatham Hill West & Thornton,Deprived,Employment,460
E05014114,Streatham Hill West & Thornton,Deprived,Health,994
E05014114,Streatham Hill West & Thornton,Deprived,Housing,667
E05014115,Streatham St Leonard's,Does not apply,Education,0
E05014115,Streatham St Leonard's,Does not apply,Employment,0
E05014115,Streatham St Leonard's,Does not apply,Health,0
E05014115,Streatham St Leonard's,Does not apply,Housing,0
E05014115,Streatham St Leonard's,Not Deprived,Education,5559
E05014115,Streatham St Leonard's,Not Deprived,Employment,5758
E05014115,Streatham St Leonard's,Not Deprived,Health,5002
E05014115,Streatham St Leonard's,Not Deprived,Housing,5038
E05014115,Streatham St Leonard's,Deprived,Education,974
E05014115,Streatham St Leonard's,Deprived,Employment,775
E05014115,Streatham St Leonard's,Deprived,Health,1532
E05014115,Streatham St Leonard's,Deprived,Housing,1495
E05014116,Streatham Wells,Does not apply,Education,0
E05014116,Streatham Wells,Does not apply,Employment,0
E05014116,Streatham Wells,Does not apply,Health,0
E05014116,Streatham Wells,Does not apply,Housing,0
E05014116,Streatham Wells,Not Deprived,Education,3598
E05014116,Streatham Wells,Not Deprived,Employment,3557
E05014116,Streatham Wells,Not Deprived,Health,3047
E05014116,Streatham Wells,Not Deprived,Housing,3481
E05014116,Streatham Wells,Deprived,Education,491
E05014116,Streatham Wells,Deprived,Employment,532
E05014116,Streatham Wells,Deprived,Health,1042
E05014116,Streatham Wells,Deprived,Housing,608
E05014117,Vauxhall,Does not apply,Education,0
E05014117,Vauxhall,Does not apply,Employment,0
E05014117,Vauxhall,Does not apply,Health,0
E05014117,Vauxhall,Does not apply,Housing,0
E05014117,Vauxhall,Not Deprived,Education,4285
E05014117,Vauxhall,Not Deprived,Employment,4265
E05014117,Vauxhall,Not Deprived,Health,3872
E05014117,Vauxhall,Not Deprived,Housing,3957
E05014117,Vauxhall,Deprived,Education,563
E05014117,Vauxhall,Deprived,Employment,582
E05014117,Vauxhall,Deprived,Health,976
E05014117,Vauxhall,Deprived,Housing,891
E05014118,Waterloo & South Bank,Does not apply,Education,0
E05014118,Waterloo & South Bank,Does not apply,Employment,0
E05014118,Waterloo & South Bank,Does not apply,Health,0
E05014118,Waterloo & South Bank,Does not apply,Housing,0
E05014118,Waterloo & South Bank,Not Deprived,Education,3331
E05014118,Waterloo & South Bank,Not Deprived,Employment,3401
E05014118,Waterloo & South Bank,Not Deprived,Health,2980
E05014118,Waterloo & South Bank,Not Deprived,Housing,3188
E05014118,Waterloo & South Bank,Deprived,Education,531
E05014118,Waterloo & South Bank,Deprived,Employment,461
E05014118,Waterloo & South Bank,Deprived,Health,880
E05014118,Waterloo & South Bank,Deprived,Housing,673
E05014119,West Dulwich,Does not apply,Education,0
E05014119,West Dulwich,Does not apply,Employment,0
E05014119,West Dulwich,Does not apply,Health,0
E05014119,West Dulwich,Does not apply,Housing,0
E05014119,West Dulwich,Not Deprived,Education,4120
E05014119,West Dulwich,Not Deprived,Employment,4208
E05014119,West Dulwich,Not Deprived,Health,3505
E05014119,West Dulwich,Not Deprived,Housing,4075
E05014119,West Dulwich,Deprived,Education,581
E05014119,West Dulwich,Deprived,Employment,493
E05014119,West Dulwich,Deprived,Health,1196
E05014119,West Dulwich,Deprived,Housing,626
