GLA area 2021,,,,,,,,,,,,,,
_Collision Id,Borough Name,Borough Number,Easting,Northing,_Casualty Id,_Casualty Class,Casualty Gender,Casualty Age (5 Year Bands),Casualty Age,_Casualty Count,_Casualty Severity,Pedestrian Location,Pedestrian Movement,Casualty Mode of Travel
1210287613,Southwark,8,533820,178115,1,Driver/Rider,Male,20-24,21,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287615,Bexley,18,551102,178394,1,Driver/Rider,Female,40-44,43,1,Slight,Not Applicable,Not Applicable,Car
1210287616,Hackney,4,534947,184728,1,Driver/Rider,Male,20-24,22,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287625,Barnet,30,522455,190282,1,Driver/Rider,Male,20-24,23,1,Slight,Not Applicable,Not Applicable,Car
1210287629,Hounslow,25,513659,176845,1,Driver/Rider,Male,40-44,40,1,Serious,Not Applicable,Not Applicable,Pedal Cycle
1210287631,Brent,28,521783,185585,1,Driver/Rider,Male,20-24,23,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287633,Westminster,1,528251,179276,1,Pedestrian,Male,60-64,63,1,Slight,Crossing Road On Ped Xing,From Drivers N/Side,Pedestrian
1210287634,Westminster,1,528421,179917,1,Driver/Rider,Male,25-29,27,1,Slight,Not Applicable,Not Applicable,Other Vehicle
1210287639,Hackney,4,532082,187492,1,Driver/Rider,Male,30-34,31,1,Slight,Not Applicable,Not Applicable,Pedal Cycle
1210287640,Ealing,27,519221,180272,1,Driver/Rider,Male,20-24,23,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287641,Westminster,1,523855,182685,1,Pedestrian,Male,60-64,60,1,Slight,Crossing Road Within 50m Xing,From Drivers N/Side,Pedestrian
1210287642,Hillingdon,26,511036,180913,1,Driver/Rider,Female,30-34,34,1,Slight,Not Applicable,Not Applicable,Car
1210287645,Harrow,29,512967,187281,1,Driver/Rider,Male,20-24,20,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287648,Bexley,18,549552,179826,1,Driver/Rider,Male,30-34,31,1,Slight,Not Applicable,Not Applicable,Car
1210287652,Wandsworth,10,529350,171761,1,Pedestrian,Female,15-19,18,1,Slight,Crossing Road (Not On Xing),From Drivers O/Side,Pedestrian
1210287659,Hounslow,25,517705,178253,1,Passenger,Male,15-19,19,1,Serious,Not Applicable,Not Applicable,Car
1210287661,Westminster,1,529980,178891,1,Pedestrian,Male,50-54,50,1,Slight,In Centre Of Carriageway,From Drivers N/Side,Pedestrian
1210287678,Harrow,29,513418,185884,1,Driver/Rider,Male,40-44,42,1,Slight,Not Applicable,Not Applicable,Car
1210287682,Harrow,29,511949,191125,1,Driver/Rider,Male,25-29,29,1,Slight,Not Applicable,Not Applicable,Powered 2 Wheeler
1210287684,Hounslow,25,510607,173145,1,Pedestrian,Male,15-19,17,1,Serious,Crossing Road (Not On Xing),From Drivers N/Side Msk,Pedestrian
