time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,lad_code,lad_name,fsm,area_of_learning,number_of_pupils,at_least_expected_number,at_least_expected_percent
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,FSM,Communication and Language,289,211,73
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000013,North Lincolnshire,All other pupils,Communication and Language,1547,1290,83
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E10000023,North Yorkshire,Total,Communication and Language,5987,5073,85
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E10000023,North Yorkshire,FSM,Communication and Language,540,360,67
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E10000023,North Yorkshire,All other pupils,Communication and Language,5447,4713,87
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000018,Rotherham,Total,Communication and Language,3212,2552,79
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000018,Rotherham,FSM,Communication and Language,448,310,69
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000018,Rotherham,All other pupils,Communication and Language,2764,2242,81
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000019,Sheffield,Total,Communication and Language,6230,5289,85
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000019,Sheffield,FSM,Communication and Language,1508,1130,75
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000019,Sheffield,All other pupils,Communication and Language,4722,4159,88
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000036,Wakefield,Total,Communication and Language,4148,3410,82
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000036,Wakefield,FSM,Communication and Language,605,431,71
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E08000036,Wakefield,All other pupils,Communication and Language,3543,2979,84
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000014,York,Total,Communication and Language,1950,1712,88
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000014,York,FSM,Communication and Language,150,107,71
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and the Humber,E06000014,York,All other pupils,Communication and Language,1800,1605,89
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000015,Derby,Total,Communication and Language,3259,2581,79
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000015,Derby,FSM,Communication and Language,628,447,71
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000015,Derby,All other pupils,Communication and Language,2631,2134,81
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000007,Derbyshire,Total,Communication and Language,8192,6646,81
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000007,Derbyshire,FSM,Communication and Language,1352,906,67
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000007,Derbyshire,All other pupils,Communication and Language,6840,5740,84
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,Total,Communication and Language,4702,3653,78
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,FSM,Communication and Language,668,497,74
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000016,Leicester,All other pupils,Communication and Language,4034,3156,78
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000018,Leicestershire,Total,Communication and Language,7681,6400,83
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000018,Leicestershire,FSM,Communication and Language,589,379,64
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000018,Leicestershire,All other pupils,Communication and Language,7092,6021,85
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000019,Lincolnshire,Total,Communication and Language,7953,6418,81
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000019,Lincolnshire,FSM,Communication and Language,1016,718,71
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000019,Lincolnshire,All other pupils,Communication and Language,6937,5700,82
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000021,Northamptonshire,Total,Communication and Language,9277,7516,81
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000021,Northamptonshire,FSM,Communication and Language,761,520,68
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E10000021,Northamptonshire,All other pupils,Communication and Language,8516,6996,82
201819,Academic year,Local authority,E92000001,England,E12000004,East Midlands,E06000018,Nottingham,Total,Communication and Language,3739,3035,81
